,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
188,APOG,"Apogee Enterprises, Inc.",42.15,1200000000,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/apog
189,APEN,"Apollo Endosurgery, Inc.",6,103750000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apen
190,AINV,Apollo Investment Corporation,5.36,1160000000,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv
191,AMEH,"Apollo Medical Holdings, Inc.",14.95,487770000,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ameh
192,APPF,"AppFolio, Inc.",40.75,1390000000,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appf
193,APPN,Appian Corporation,26.94,1640000000,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appn
194,AAPL,Apple Inc.,168.38,8.54E+11,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
195,ARCI,"Appliance Recycling Centers of America, Inc.",0.79,5430000,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/arci
196,APDN,Applied DNA Sciences Inc,1.57,47280000,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdn
197,APDNW,Applied DNA Sciences Inc,0.364,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdnw
